 ,Khách hàng,Thông Tin KH,Tên TB,Serial/Cấu Hình,Phụ Kiện,Phiếu Đề Xuất,,Ngày nhận,Chế Độ,Ngày bảo hành,Lỗi KH báo,Thực tế kiểm tra,Hướng khắc phục,Tên NCC,Người liên hệ,Ngày gửi NCC,ĐV Vận chuyển,Người Phụ Trách,Tình trạng TB sau sửa chữa,Vị Trí,Tình trạng thiết bị,Ghi chú ,
1,PSB,A.Huy-DLTB,Dell S2725H ,"ST: DTZQ534 
S/N: VN-0D11K5-WS700-53B-CQBL-A03",Chân đế,,,06/01/2026,Bảo Hành,29/06/2028,Chớp tắt không lên hình,Chớp tắt màn hình + không hiển thị(màn đen),Gọi BH,Dell Support,"Tổng đài DELL
18004851",,,Tân,Done,,,"Đã gọi BH
Hàng đã về, đợi trễ
- Đã trả hàng 12/01/2026 (Tan-Hung trả)",
2,PMC,Đào Duy Quang (PP TCNS),Laptop HP 240 G9,"5CG24346MH
001.018.054.0015",Sạc HP 45W,,,09/01/2026,Sửa,Expired,không lên nguồn,không lên nguồn mặc dù đã cắm sạc,KG,Ko gian,,,,Tân,Done,,,"Gửi KG
KG ko sửa trả về, đợi trả
- Vương đến lấy ngày 27/01/2026",
3,PMC,,PC Dell Optiplex,"HMVFHB4
001.017.037.0106",,,,09/01/2026,Bảo Hành," November 3, 2027",máy khởi động liên tục,"máy bị khởi động liên tục dù đã cài win, lỗi do phần mềm cỉa máy ","Tổng đài DELL 
18004851","Tổng đài DELL 
18004851","Tổng đài DELL 
18004851",,,Tân,Done,,,"ngày 10/03/2026 Kĩ thuật tới kiểm tra và bảo hành
đã thay main, máy đang test và đợi trả
Tan trả (12-3-2026)",
4,PMC,,UPS APC BVX1200LI-MS,"9B2425A07059
001.020.073.1129",,,,09/01/2026,Bảo hành,12/04/2025 (24th),hỏng,"ác quy bị chai, sạc 1 tiếng, cắm quạt được 10p thì bị sập",,KNX,KNX, ,xe toàn thắng,Tân,Done,,,"đã gửi xe toàn thắng
hàng đã về đợi trả
đã trả (09-02-2026)",
5,PMC,,UPS APC BVX1200LI-MS,"9B2425A07047
001.020.073.1196",,,,09/01/2026,Bảo hành,12/04/2025 (24th),hỏng,"máy cắm nguồn nhưng không nhận sạc, cắm sạc vẫn bị sập nguồn",,KNX,KNX,,xe toàn thắng,Tân,Done,,,"đã gửi xe toàn thắng
hàng đã về đợi trả
đã trả (09-02-2026)",
6,PMC,,UPS SANTAK TG1250PRO,H501-A1940800153,,,,09/01/2026,Bảo Hành,23/11/2028,hỏng,máy cắm nguồn nhưng không nhận sạc,"gửi Nguyen Kim, BH Ecotek",NGUYEN KIM + BH Ecotek,,,xe a Phúc,Tân,Done,,,"Gửi Nguyên Kim
đợi NK gửi hàng về, BH qua hãng Ecotek
- đã gửi BH Ecotek
- hàng đã về đợi trả",
7,PMC,,Bàn phím EK104,EK104GBD250400614,,,,09/01/2026,Bảo Hành,23/07/2027,"Lỗi phím Y, nhiêu bàn phím",không thấy lỗi gì ,,Sieu toc,,,,Tân,Done,,,"Đợi trả
đã trả 04/02/2026",
8,PPS,anh Lý,Cudy 8-port Gigabit Industrial PoE + Switch,IG1008P252200001,,,,13/01/2026,Bảo Hành,05/01/2026 (12th),lỗi,lỗi vô có tín hiệu nhưng khi xuất thì không có tín hiệu,"Phòng BH công ty An Phát,286/1 Trần Hưng Đạo, P.Cầu Ông Lãnh, Q1 
, TP.HCM
0908 652 086",Đại diện: Lâm Quốc Hoa,"Lâm Quốc Hoa
0908 652 086",,xe a Phúc,Tân,Done,,,"đã gửi xe a Phúc
- BH về đợi trả
- Đã đổi cho khách, thiết bị này để lại phòng kỹ thuật",
9,VSP,"Bùi Anh Nam 2799 BMDH
Trưởng phòng TCNS",Surface x1876,,,,,,,,chập chờn,chập chờn,KG,KG,,,xe a Phúc,Tân + Tuấn,Done,,,"KG trả về, không sửa
Ngữ trả",
10,PGS,Tàu Researcher,Laptop HP EliteBook 8470p,"win 7, core i7",có Apdapter,,,tuần B ,sửa chữa,hết BH,thay phím,thay phím,"không thay phím, không có phím để thay",,,,,Tân + Nông,Done,,,"không thay phím, không có phím để thay, trả KH
Tân trả (19-01-2026)
- bàn phím về thay lại",
